path,class,machine,endian,soname,needed,sha256,size
bin/batterysrv,ELF32,ARM,little,,,024f0d3d08421a8b097943a0f802aee6a133001d9b39d7bf054dd6c6358b014b,157344
bin/calibration_init,ELF32,ARM,little,,libc.so;libcutils.so;libm.so;libstdc++.so,cbc95b40334796ebe64a9221344341927cfe1ac04e2b7083a7f631503fcaddcd,5400
bin/charge,ELF32,ARM,little,,,53eff00dd56b1210ce69237ee1d44ba6c3e78c4718639669b7d2e8c9a7f2c8cd,270936
bin/connfwexe,ELF32,ARM,little,,libbinder.so;libc.so;libcrypto.so;libcutils.so;libdl.so;libfactoryutil.so;libm.so;libomission_avoidance.so;libril.so;libsecnativefeature.so;libsecril-client.so;libstdc++.so;libutils.so,8438ead38c1fa7104005d8c5c922cd1cd1474b2119c8d828942ed33eac0e7da4,108704
bin/cp_diskserver,ELF32,ARM,little,,libc.so;libcutils.so;libhardware_legacy.so;liblog.so;libm.so;libstdc++.so;libutils.so,0f28163a7f293c6fd447fe60135f7fff86895377eccb32029f06375fa87a8694,16916
bin/ddexe,ELF32,ARM,little,,libc.so;libcutils.so;libm.so;libstdc++.so,f1e51b4291827fee216337672232d461381d78f66f0cc6806988089a766ef8d5,14632
bin/download,ELF32,ARM,little,,libc.so;libcutils.so;libm.so;libstdc++.so,79cdcc5f565c19f3f8c1a68f7efa111ef3214b147450e657f198f86720d2282c,35828
bin/drsd,ELF32,ARM,little,,libc.so;libcutils.so;libdl.so;libm.so;libselinux.so;libstdc++.so;libusbhost.so,08348d848495a926ba309d712193f6b8ffcaa249a57d085dd7731c9e440a1b4a,506576
bin/engpc,ELF32,ARM,little,,libatchannel.so;libc.so;libcutils.so;libdl.so;libefuse.so;libgpspc.so;libhardware.so;libhardware_legacy.so;libm.so;libnvexchange.so;libsqlite.so;libstdc++.so;libvbeffect.so;libvbpga.so,9b4159060adea5509d3266dbbc65c86b52eb7ae34849acc95d0e378f54a951ed,127180
bin/macloader,ELF32,ARM,little,,libc.so;libcutils.so;libm.so;libstdc++.so,ad93fae3d4ef16301437543ae4c56fdb251bba6a9a013b9dddbd5c2a97896999,9392
bin/mfgloader,ELF32,ARM,little,,libc.so;libcutils.so;libm.so;libstdc++.so,beff079905f4793491bb968358bbae14612a2a1f3a9e93a119ae4a3b60cd660e,9664
bin/modem_control,ELF32,ARM,little,,libc.so;libcutils.so;libhardware_legacy.so;libm.so;libstdc++.so,cce197f3906dda692a0529813b9098d87f35dfa1a0353c0df97b5c52b07bbc9a,21784
bin/modemd,ELF32,ARM,little,,libc.so;libcutils.so;libhardware_legacy.so;libm.so;libstdc++.so,0d759074fcb9fbe9dbc83e9718e1113ad1a382cfd454eb5d864913564470a502,38188
bin/npsmobex,ELF32,ARM,little,,libc.so;libcrypto.so;libcutils.so;libdl.so;libm.so;libsqlite.so;libstdc++.so,bcf7819a49c6b00d55bc1ce105361ca23516c893dc33b12685de014e9cfafe1d,238944
bin/phoneserver,ELF32,ARM,little,,libc.so;libcutils.so;libhardware_legacy.so;libm.so;libstdc++.so,db859cfceb631932f1c81fc27863848def5ff6eb36ae9972159ba27e44bf3a70,64464
bin/refnotify,ELF32,ARM,little,,libc.so;libcutils.so;libhardware_legacy.so;libm.so;libstdc++.so;libutils.so,24de86fa78a1d7c6227cfd64fbaf8b4c98e8daa2b5195e1860af74b5ab8bcfdb,13588
bin/wcnd,ELF32,ARM,little,,libc.so;libcutils.so;libengbt.so;libiwnpi.so;libm.so;libnetutils.so;libstdc++.so,7f8a96c9de588c08f1097d46110861cf24b886a528ea554ccb6df8c01e66f2fe,38228
bin/wlandutservice,ELF32,ARM,little,,libbinder.so;libc.so;libcutils.so;libm.so;libsprdftms.so;libstdc++.so;libutils.so,d80821307c29637c5009b06f21b45adb8a1cba3e44a4acd1d4091a982647bfae,25948
